year,node1,node2,node3,sign12,sign13,sign23,balanced,actor_load_mean,actor_load_min,deg_mean,tie_btw_mean,tie_emb_mean,triad_overlap,triad_id,triad_log_cinc_mean,balanced_prior,target_year,balanced_t5,outcome,frozen,era,trade12,trade13,trade23,tie_trade_mean
1900,200,255,710,-1,-1,-1,FALSE,0.3512355324074073,0.26300781249999994,5.666666666666667,14.111111111111109,1.6666666666666667,0.6666666666666667,200-255-710,-1.9592121270878098,NA,1905,NA,dissolved,FALSE,pre-1945,0.10324643874676352,0.04162461448331813,0,0.04829035107669388
1900,365,710,740,-1,-1,-1,FALSE,0.4802473958333333,0.26300781249999994,4.666666666666667,11,1.3333333333333333,0.33333333333333326,365-710-740,-2.6263524130459217,NA,1905,NA,dissolved,FALSE,pre-1945,0.02690854282418432,9.95759726559826e-4,0.12717327784132934,0.05169252679735783
1904,300,325,360,-1,1,1,FALSE,0.635352366255144,0.5494791666666666,3.6666666666666665,6.666666666666667,2,1,300-325-360,-4.067574269877297,TRUE,1909,TRUE,flipped,FALSE,pre-1945,0.07883102791146951,0.09962591275938756,0.02690337428058255,0.06845343831714654
1904,255,300,325,-1,1,1,FALSE,0.635352366255144,0.5494791666666666,3.6666666666666665,6.666666666666667,2,1,255-300-325,-2.9176166076916887,TRUE,1909,TRUE,flipped,FALSE,pre-1945,0.21667481708368963,0.05908576858684107,0.07883102791146951,0.1181972045273334
1907,90,91,94,-1,1,1,FALSE,0.765625,0.765625,4,1,3,2,90-91-94,-8.117603488441512,NA,1912,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1907,90,91,92,-1,1,1,FALSE,0.765625,0.765625,4,1,3,2,90-91-92,-8.108231997221722,NA,1912,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1907,90,92,93,1,1,-1,FALSE,0.765625,0.765625,4,1,3,2,90-92-93,-7.999967132607564,NA,1912,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1907,91,93,94,-1,1,1,FALSE,0.765625,0.765625,4,1,3,2,91-93-94,-8.562140041315892,NA,1912,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1907,92,93,94,-1,1,1,FALSE,0.765625,0.765625,4,1,3,2,92-93-94,-8.244615879588398,NA,1912,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1909,90,91,93,1,-1,1,FALSE,0.6067708333333334,0.39583333333333326,4.666666666666667,15,3,2,90-91-93,-8.253738663512095,TRUE,1914,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1909,90,92,93,1,-1,1,FALSE,0.6067708333333334,0.39583333333333326,4.666666666666667,15,3,2,90-92-93,-8.004786072652987,TRUE,1914,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1909,91,93,94,-1,1,1,FALSE,0.6067708333333334,0.39583333333333326,4.666666666666667,15,3,2,91-93-94,-8.617495520465244,TRUE,1914,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1909,92,93,94,-1,1,1,FALSE,0.6067708333333334,0.39583333333333326,4.666666666666667,15,3,2,92-93-94,-8.244066634176582,TRUE,1914,TRUE,flipped,FALSE,pre-1945,NA,NA,NA,NA
1911,255,300,325,1,1,-1,FALSE,0.415359876628908,0.2781942709056412,5.666666666666667,16.999999999999996,2.6666666666666665,1.6666666666666665,255-300-325,-2.8551531275127333,TRUE,1916,TRUE,flipped,FALSE,pre-1945,0.1968583734889214,0.08100784643713232,0.07604887826537703,0.11797169939714358
