year,triad_id,balanced,actor_load_mean,tie_btw_mean,tie_emb_mean,triad_log_cinc_mean,prev_year,prev_balanced,is_onset,spell_id_local,spell_id,t1,event,is_terminal_row,row_event,z_actor_load,z_tie_btw,z_tie_emb,z_cinc,era,event_dissolve,event_flip
2009,100-101-150,FALSE,0.11483313371520337,1,32,-5.973565325742386,2008,FALSE,FALSE,8,100-101-150_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.24026725872745067,post-1989,0,0
2010,100-101-150,FALSE,0.1148677345878587,1,32,-5.997105408208503,2009,FALSE,FALSE,8,100-101-150_S8,2010,flipped,TRUE,flipped,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,0.22453099913263155,post-1989,0,1
1982,100-101-155,FALSE,0.12547831666631967,1.8888888888888886,28,-5.630593240943259,1981,TRUE,TRUE,1,100-101-155_S1,1982,flipped,TRUE,flipped,-0.658927104157609,-0.5322415441626295,0.9601797284892816,0.4695399372723867,1945-1989,0,1
1987,100-101-155,FALSE,0.12705535741502813,1,29,-5.609174110520042,1986,TRUE,TRUE,2,100-101-155_S2,1988,flipped,FALSE,continues,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.48385836615300676,1945-1989,0,0
1988,100-101-155,FALSE,0.12705535741502813,1,29,-5.633580733099034,1987,FALSE,FALSE,2,100-101-155_S2,1988,flipped,TRUE,flipped,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.46754283500358934,1945-1989,0,1
1994,100-101-155,FALSE,0.1146704384053689,1,32,-5.4949482578528395,1993,TRUE,TRUE,3,100-101-155_S3,1995,flipped,FALSE,continues,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,0.5602169631374443,post-1989,0,0
1995,100-101-155,FALSE,0.11500797867443287,1,32,-5.47994854121734,1994,FALSE,FALSE,3,100-101-155_S3,1995,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.5702440917664412,post-1989,0,1
1997,100-101-155,FALSE,0.11500797867443287,1,32,-5.418765326176621,1996,TRUE,TRUE,4,100-101-155_S4,1997,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.6111443288880486,post-1989,0,1
2000,100-101-155,FALSE,0.11462239730844685,1,32,-5.435240404540015,1999,TRUE,TRUE,5,100-101-155_S5,2000,flipped,TRUE,flipped,-0.8106276039274449,-0.5537596743545242,1.4148164200442492,0.6001309388396273,post-1989,0,1
2003,100-101-155,FALSE,0.11476740687100999,1,32,-5.45544139020591,2002,TRUE,TRUE,6,100-101-155_S6,2003,flipped,TRUE,flipped,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,0.5866268249535652,post-1989,0,1
2006,100-101-155,FALSE,0.11490357687453194,1,32,-5.399863097953307,2005,TRUE,TRUE,7,100-101-155_S7,2006,flipped,TRUE,flipped,-0.8066984037101239,-0.5537596743545242,1.4148164200442492,0.6237802391772643,post-1989,0,1
2008,100-101-155,FALSE,0.11483313371520337,1,32,-5.3784918674512365,2007,TRUE,TRUE,8,100-101-155_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.6380666475416087,post-1989,0,0
2009,100-101-155,FALSE,0.11483313371520337,1,32,-5.395597402292779,2008,FALSE,FALSE,8,100-101-155_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.6266318049847832,post-1989,0,0
2010,100-101-155,FALSE,0.1148677345878587,1,32,-5.4557102739448515,2009,FALSE,FALSE,8,100-101-155_S8,2010,flipped,TRUE,flipped,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,0.5864470794355576,post-1989,0,1
1982,100-101-160,FALSE,0.12326705379929433,1.8888888888888886,28.333333333333332,-5.327999577153323,1981,TRUE,TRUE,1,100-101-160_S1,1982,flipped,TRUE,flipped,-0.6898272675608084,-0.5322415441626295,0.9980661194521954,0.6718201311501986,1945-1989,0,1
1987,100-101-160,FALSE,0.12705535741502813,1,29,-5.365457765096117,1986,TRUE,TRUE,2,100-101-160_S2,1988,flipped,FALSE,continues,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.6467797868664528,1945-1989,0,0
1988,100-101-160,FALSE,0.12705535741502813,1,29,-5.378690338788534,1987,FALSE,FALSE,2,100-101-160_S2,1988,flipped,TRUE,flipped,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.6379339718600201,1945-1989,0,1
1994,100-101-160,FALSE,0.1146704384053689,1,32,-5.268712001461153,1993,TRUE,TRUE,3,100-101-160_S3,1995,flipped,FALSE,continues,-0.8099562781583123,-0.5537596743545242,1.4148164200442492,0.711453156360809,post-1989,0,0
1995,100-101-160,FALSE,0.11500797867443287,1,32,-5.256158323565135,1994,FALSE,FALSE,3,100-101-160_S3,1995,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.7198451377621412,post-1989,0,1
1997,100-101-160,FALSE,0.11500797867443287,1,32,-5.213444519945444,1996,TRUE,TRUE,4,100-101-160_S4,1997,flipped,TRUE,flipped,-0.8052394940867437,-0.5537596743545242,1.4148164200442492,0.7483987973769305,post-1989,0,1
2000,100-101-160,FALSE,0.11280477781783431,4.474603174603173,32,-5.229632577911064,1999,TRUE,TRUE,5,100-101-160_S5,2000,flipped,TRUE,flipped,-0.836026999043378,-0.46964684044370747,1.4148164200442492,0.7375772769829537,post-1989,0,1
2003,100-101-160,FALSE,0.11476740687100999,1,32,-5.218510539099562,2002,TRUE,TRUE,6,100-101-160_S6,2003,flipped,TRUE,flipped,-0.8086012418675352,-0.5537596743545242,1.4148164200442492,0.7450122250216183,post-1989,0,1
2006,100-101-160,FALSE,0.11490357687453194,1,32,-5.196288195030371,2005,TRUE,TRUE,7,100-101-160_S7,2006,flipped,TRUE,flipped,-0.8066984037101239,-0.5537596743545242,1.4148164200442492,0.7598675924818431,post-1989,0,1
2008,100-101-160,FALSE,0.11483313371520337,1,32,-5.156683317317647,2007,TRUE,TRUE,8,100-101-160_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.7863429728381167,post-1989,0,0
2009,100-101-160,FALSE,0.11483313371520337,1,32,-5.165346679758692,2008,FALSE,FALSE,8,100-101-160_S8,2010,flipped,FALSE,continues,-0.8076827756571908,-0.5537596743545242,1.4148164200442492,0.7805516201301334,post-1989,0,0
2010,100-101-160,FALSE,0.1148677345878587,1,32,-5.19042209761395,2009,FALSE,FALSE,8,100-101-160_S8,2010,flipped,TRUE,flipped,-0.8071992634366915,-0.5537596743545242,1.4148164200442492,0.7637890074508085,post-1989,0,1
1982,100-101-165,FALSE,0.12547831666631967,1.8888888888888886,28,-6.118651377409901,1981,TRUE,TRUE,1,100-101-165_S1,1982,flipped,TRUE,flipped,-0.658927104157609,-0.5322415441626295,0.9601797284892816,0.14327899303579042,1945-1989,0,1
1987,100-101-165,FALSE,0.12705535741502813,1,29,-6.154583747206045,1986,TRUE,TRUE,2,100-101-165_S2,1988,flipped,FALSE,continues,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.11925863967538765,1945-1989,0,0
1988,100-101-165,FALSE,0.12705535741502813,1,29,-6.158439171614131,1987,FALSE,FALSE,2,100-101-165_S2,1988,flipped,TRUE,flipped,-0.636889553780729,-0.5537596743545242,1.0738389013780234,0.11668133522366485,1945-1989,0,1
