year,ccode_low,ccode_high,sign,multiplex
1835,245,269,1,FALSE
1835,245,271,1,FALSE
1835,245,273,1,FALSE
1835,245,275,1,FALSE
1835,245,300,1,FALSE
1835,255,267,1,FALSE
1835,255,269,1,FALSE
1835,255,271,1,FALSE
1835,255,273,1,FALSE
1835,255,275,1,FALSE
1835,255,300,1,FALSE
1835,255,365,1,FALSE
1835,267,269,1,FALSE
1835,267,271,1,FALSE
1835,267,273,1,FALSE
1835,267,275,1,FALSE
1835,267,300,1,FALSE
1835,269,271,1,FALSE
1835,269,273,1,FALSE
1835,269,275,1,FALSE
1835,269,300,1,FALSE
1835,271,273,1,FALSE
1835,271,275,1,FALSE
1835,271,300,1,FALSE
1835,273,275,1,FALSE
1835,273,300,1,FALSE
1835,275,300,1,FALSE
1835,300,325,1,FALSE
1835,300,337,1,FALSE
1835,300,365,1,FALSE
1835,325,329,1,FALSE
1835,365,640,1,FALSE
1836,2,70,-1,FALSE
1836,100,200,-1,FALSE
1836,200,220,1,FALSE
1836,200,230,1,FALSE
1836,200,235,1,FALSE
1836,200,380,1,FALSE
1836,220,230,1,FALSE
1836,220,235,1,FALSE
1836,230,235,1,FALSE
1836,245,255,1,FALSE
1836,245,267,1,FALSE
1836,245,269,1,FALSE
1836,245,271,1,FALSE
1836,245,273,1,FALSE
1836,245,275,1,FALSE
1836,245,300,1,FALSE
1836,255,267,1,FALSE
1836,255,269,1,FALSE
1836,255,271,1,FALSE
1836,255,273,1,FALSE
1836,255,275,1,FALSE
1836,255,300,1,FALSE
1836,255,365,1,FALSE
1836,267,269,1,FALSE
1836,267,271,1,FALSE
1836,267,273,1,FALSE
1836,267,275,1,FALSE
1836,267,300,1,FALSE
1836,269,271,1,FALSE
1836,269,273,1,FALSE
1836,269,275,1,FALSE
1836,269,300,1,FALSE
1836,271,273,1,FALSE
1836,271,275,1,FALSE
1836,271,300,1,FALSE
1836,273,275,1,FALSE
1836,273,300,1,FALSE
1836,275,300,1,FALSE
1836,300,325,1,FALSE
1836,300,337,1,FALSE
1836,300,365,1,FALSE
1836,325,329,1,FALSE
1836,365,640,1,FALSE
1837,2,70,-1,FALSE
1837,2,200,-1,FALSE
1837,100,200,-1,FALSE
1837,200,220,1,FALSE
1837,200,230,1,FALSE
1837,200,235,1,FALSE
1837,200,380,1,FALSE
1837,220,230,1,FALSE
1837,220,235,1,FALSE
1837,230,235,1,FALSE
1837,245,255,1,FALSE
1837,245,267,1,FALSE
1837,245,269,1,FALSE
1837,245,271,1,FALSE
1837,245,273,1,FALSE
1837,245,275,1,FALSE
1837,245,300,1,FALSE
1837,255,267,1,FALSE
1837,255,269,1,FALSE
1837,255,271,1,FALSE
1837,255,273,1,FALSE
1837,255,275,1,FALSE
1837,255,300,1,FALSE
1837,255,365,1,FALSE
1837,267,269,1,FALSE
1837,267,271,1,FALSE
1837,267,273,1,FALSE
1837,267,275,1,FALSE
1837,267,300,1,FALSE
1837,269,271,1,FALSE
1837,269,273,1,FALSE
1837,269,275,1,FALSE
1837,269,300,1,FALSE
1837,271,273,1,FALSE
1837,271,275,1,FALSE
1837,271,300,1,FALSE
1837,273,275,1,FALSE
1837,273,300,1,FALSE
1837,275,300,1,FALSE
1837,300,325,1,FALSE
1837,300,337,1,FALSE
1837,300,365,1,FALSE
1837,325,329,1,FALSE
1837,365,640,1,FALSE
1838,2,70,-1,FALSE
1838,2,200,-1,FALSE
1838,70,220,-1,FALSE
1838,140,200,-1,FALSE
1838,200,220,1,FALSE
1838,200,230,1,FALSE
1838,200,235,1,FALSE
1838,200,380,1,FALSE
1838,220,230,1,FALSE
1838,220,235,1,FALSE
1838,230,235,1,FALSE
1838,240,245,1,FALSE
1838,240,255,1,FALSE
1838,240,267,1,FALSE
1838,240,269,1,FALSE
1838,240,271,1,FALSE
1838,240,273,1,FALSE
1838,240,275,1,FALSE
1838,240,300,1,FALSE
1838,245,255,1,FALSE
1838,245,267,1,FALSE
1838,245,269,1,FALSE
1838,245,271,1,FALSE
1838,245,273,1,FALSE
1838,245,275,1,FALSE
1838,245,300,1,FALSE
1838,255,267,1,FALSE
1838,255,269,1,FALSE
1838,255,271,1,FALSE
1838,255,273,1,FALSE
1838,255,275,1,FALSE
1838,255,300,1,FALSE
1838,255,365,1,FALSE
1838,267,269,1,FALSE
1838,267,271,1,FALSE
1838,267,273,1,FALSE
1838,267,275,1,FALSE
1838,267,300,1,FALSE
1838,269,271,1,FALSE
1838,269,273,1,FALSE
1838,269,275,1,FALSE
1838,269,300,1,FALSE
1838,271,273,1,FALSE
1838,271,275,1,FALSE
1838,271,300,1,FALSE
1838,273,275,1,FALSE
1838,273,300,1,FALSE
1838,275,300,1,FALSE
1838,300,325,1,FALSE
1838,300,337,1,FALSE
1838,300,365,1,FALSE
1838,325,329,1,FALSE
1838,365,640,1,FALSE
1839,2,70,-1,FALSE
1839,2,200,-1,FALSE
1839,70,220,-1,FALSE
1839,140,200,-1,FALSE
1839,200,220,1,FALSE
1839,200,230,1,FALSE
1839,200,235,1,FALSE
1839,200,380,1,FALSE
1839,220,230,1,FALSE
1839,220,235,1,FALSE
1839,230,235,1,FALSE
1839,240,245,1,FALSE
1839,240,255,1,FALSE
1839,240,267,1,FALSE
1839,240,269,1,FALSE
1839,240,271,1,FALSE
1839,240,273,1,FALSE
1839,240,275,1,FALSE
1839,240,300,1,FALSE
1839,245,255,1,FALSE
1839,245,267,1,FALSE
1839,245,269,1,FALSE
1839,245,271,1,FALSE
1839,245,273,1,FALSE
1839,245,275,1,FALSE
1839,245,300,1,FALSE
1839,255,267,1,FALSE
1839,255,269,1,FALSE
1839,255,271,1,FALSE
1839,255,273,1,FALSE
1839,255,275,1,FALSE
1839,255,300,1,FALSE
1839,255,365,1,FALSE
1839,267,269,1,FALSE
1839,267,271,1,FALSE
1839,267,273,1,FALSE
1839,267,275,1,FALSE
1839,267,300,1,FALSE
1839,269,271,1,FALSE
1839,269,273,1,FALSE
1839,269,275,1,FALSE
1839,269,300,1,FALSE
1839,271,273,1,FALSE
1839,271,275,1,FALSE
1839,271,300,1,FALSE
1839,273,275,1,FALSE
1839,273,300,1,FALSE
1839,275,300,1,FALSE
1839,300,325,1,FALSE
1839,300,337,1,FALSE
1839,300,365,1,FALSE
1839,325,329,1,FALSE
1839,365,640,1,FALSE
1840,140,200,-1,FALSE
1840,200,235,1,FALSE
1840,200,255,1,FALSE
1840,200,300,1,FALSE
1840,200,365,1,FALSE
1840,200,380,1,FALSE
1840,200,640,1,FALSE
1840,230,235,-1,FALSE
1840,240,245,1,FALSE
1840,240,255,1,FALSE
1840,240,267,1,FALSE
1840,240,269,1,FALSE
1840,240,271,1,FALSE
1840,240,273,1,FALSE
1840,240,275,1,FALSE
1840,240,300,1,FALSE
1840,245,255,1,FALSE
1840,245,267,1,FALSE
1840,245,269,1,FALSE
1840,245,271,1,FALSE
1840,245,273,1,FALSE
1840,245,275,1,FALSE
1840,245,300,1,FALSE
1840,255,267,1,FALSE
1840,255,269,1,FALSE
1840,255,271,1,FALSE
1840,255,273,1,FALSE
1840,255,275,1,FALSE
1840,255,300,1,FALSE
1840,255,365,1,FALSE
1840,255,640,1,FALSE
1840,267,269,1,FALSE
1840,267,271,1,FALSE
1840,267,273,1,FALSE
1840,267,275,1,FALSE
1840,267,300,1,FALSE
1840,269,271,1,FALSE
1840,269,273,1,FALSE
1840,269,275,1,FALSE
1840,269,300,1,FALSE
1840,271,273,1,FALSE
1840,271,275,1,FALSE
1840,271,300,1,FALSE
1840,273,275,1,FALSE
1840,273,300,1,FALSE
1840,275,300,1,FALSE
